Bild1 	 Gen1 	 Stage 	 Bild2 	 Gen2 	 Wert
insitu10026.png	"CG6897"	5880	insitu12518.png	"Indy"	0.6406790847582764
insitu10026.png	"CG6897"	5880	insitu12547.png	"BEST:LD29214"	0.7805324886942869
insitu10026.png	"CG6897"	5880	insitu12548.png	"BEST:LD29214"	0.6657035428711232
insitu10026.png	"CG6897"	5880	insitu12560.png	"EG:171E4.3"	0.6213948473522729
insitu10026.png	"CG6897"	5880	insitu12571.png	"Acon"	0.7407689779724199
insitu10026.png	"CG6897"	5880	insitu12582.png	"CG3542"	0.6338541859899783
insitu10026.png	"CG6897"	5880	insitu12583.png	"CG3542"	0.8214158841170691
insitu10026.png	"CG6897"	5880	insitu12596.png	"CG32604"	0.6217833262580233
insitu10026.png	"CG6897"	5880	insitu12597.png	"CG32604"	0.7525411228943886
insitu10026.png	"CG6897"	5880	insitu12607.png	"CG3618"	0.6899755895147112
insitu10026.png	"CG6897"	5880	insitu12617.png	"CG8010"	0.5874772743594535
insitu10026.png	"CG6897"	5880	insitu12627.png	"CG14616"	0.623429490137908
insitu10026.png	"CG6897"	5880	insitu12628.png	"CG14616"	0.833805585075979
insitu10026.png	"CG6897"	5880	insitu12727.png	"SNF4Agamma"	0.6372146640384446
insitu10026.png	"CG6897"	5880	insitu12752.png	"CG1486"	0.6728931571211595
insitu10026.png	"CG6897"	5880	insitu12754.png	"CG31305"	0.5826609643142312
insitu10026.png	"CG6897"	5880	insitu12771.png	"CG31305"	0.29256003123414887
insitu10026.png	"CG6897"	5880	insitu12776.png	"CG3960"	0.15222707829139262
insitu10026.png	"CG6897"	5880	insitu12777.png	"CG3960"	0.16951388254130567
insitu10026.png	"CG6897"	5880	insitu12793.png	"cac"	-0.1615763130610965
insitu10026.png	"CG6897"	5880	insitu12826.png	"phl"	0.74590215318959
insitu10026.png	"CG6897"	5880	insitu12835.png	"Myo61F"	0.19082151538978784
insitu10026.png	"CG6897"	5880	insitu12847.png	"CG8312"	0.8138390692691562
insitu10026.png	"CG6897"	5880	insitu12848.png	"CG8312"	0.6086179530789714
insitu10026.png	"CG6897"	5880	insitu12888.png	"eya"	0.0496345991541313
insitu10026.png	"CG6897"	5880	insitu12924.png	"CG32940"	-0.16423342775305144
insitu10026.png	"CG6897"	5880	insitu12925.png	"CG32940"	-0.2639087704320452
insitu10026.png	"CG6897"	5880	insitu12969.png	"CG31150"	-0.31974295621302085
insitu10026.png	"CG6897"	5880	insitu12987.png	"Rbf"	0.7126446557553046
insitu10026.png	"CG6897"	5880	insitu12988.png	"Rbf"	0.8361459577506586
insitu10026.png	"CG6897"	5880	insitu13009.png	"jp"	0.4458456792318725
insitu10026.png	"CG6897"	5880	insitu13013.png	"ia2"	0.6735411463646414
insitu10026.png	"CG6897"	5880	insitu13038.png	"CG2052"	-0.1803610507402762
insitu10026.png	"CG6897"	5880	insitu13095.png	"emp"	-0.3313505280642503
insitu10026.png	"CG6897"	5880	insitu13112.png	"CG15105"	-0.2876196461444643
insitu10026.png	"CG6897"	5880	insitu13137.png	"CG1582"	0.531578548249881
insitu10026.png	"CG6897"	5880	insitu13147.png	"PFE"	-0.20633583126674493
insitu10026.png	"CG6897"	5880	insitu13148.png	"PFE"	-0.0507366199587055
insitu10026.png	"CG6897"	5880	insitu13175.png	"CG8602"	0.6799665463922465
insitu10026.png	"CG6897"	5880	insitu13210.png	"CG11208"	0.7233936985413955
insitu10026.png	"CG6897"	5880	insitu13229.png	"CG1969"	0.20612895713783258
insitu10026.png	"CG6897"	5880	insitu13236.png	"Mdr49"	-0.22402101989127132
insitu10026.png	"CG6897"	5880	insitu13237.png	"Mdr49"	-0.18113867105912418
insitu10026.png	"CG6897"	5880	insitu13265.png	"Dip-B"	0.7050905020524211
insitu10026.png	"CG6897"	5880	insitu13266.png	"Dip-B"	0.7006644543728473
insitu10026.png	"CG6897"	5880	insitu13278.png	"CG8092"	0.7560253939809938
insitu10026.png	"CG6897"	5880	insitu13291.png	"CG1962"	0.7561029384922515
insitu10026.png	"CG6897"	5880	insitu13292.png	"CG1962"	0.7787012441581911
insitu10026.png	"CG6897"	5880	insitu13293.png	"CG1962"	0.7269131132815194
insitu10026.png	"CG6897"	5880	insitu13294.png	"CG1962"	0.72566953683021
insitu10026.png	"CG6897"	5880	insitu13295.png	"CG1962"	0.7607106726015743
insitu10026.png	"CG6897"	5880	insitu13324.png	"CG1962"	0.7375243905080634
insitu10026.png	"CG6897"	5880	insitu13325.png	"CG1962"	0.7413560218660603
insitu10026.png	"CG6897"	5880	insitu13331.png	"CG7802"	-0.14066207399040442
insitu10026.png	"CG6897"	5880	insitu13332.png	"CG7802"	-0.20343632106780327
insitu10026.png	"CG6897"	5880	insitu13333.png	"CG7802"	-0.21644483424256417
insitu10026.png	"CG6897"	5880	insitu13362.png	"nAcRalpha-96Ab"	0.8228297095761226
insitu10026.png	"CG6897"	5880	insitu13363.png	"nAcRalpha-96Ab"	0.8119051265869687
insitu10026.png	"CG6897"	5880	insitu13382.png	"CG15658"	-0.23147762940315292
insitu10026.png	"CG6897"	5880	insitu13403.png	"dei"	0.16119561869077648
insitu10026.png	"CG6897"	5880	insitu13415.png	"CG9663"	0.7927026920460143
insitu10026.png	"CG6897"	5880	insitu13428.png	"BEST:CK00459"	0.09662749548711619
insitu10026.png	"CG6897"	5880	insitu13453.png	"CG10479"	0.4393995374362455
insitu10026.png	"CG6897"	5880	insitu13499.png	"EG:131F2.2"	0.5047746464149777
insitu10026.png	"CG6897"	5880	insitu13532.png	"Rnp4F"	0.7890275778765241
insitu10026.png	"CG6897"	5880	insitu13540.png	"CG7526"	0.19135737360269184
insitu10026.png	"CG6897"	5880	insitu13575.png	"CG6181"	0.6067699974038311
insitu10026.png	"CG6897"	5880	insitu13590.png	"Kr-h1"	-0.22379487565177741
insitu10026.png	"CG6897"	5880	insitu13591.png	"mub"	0.7480512136603096
insitu10026.png	"CG6897"	5880	insitu13600.png	"dm"	0.6270992840528241
insitu10026.png	"CG6897"	5880	insitu13615.png	"cas"	0.15921160975090132
insitu10026.png	"CG6897"	5880	insitu13635.png	"CG7334"	0.3798162203939857
insitu10026.png	"CG6897"	5880	insitu13636.png	"CG7334"	0.47140907832789675
insitu10026.png	"CG6897"	5880	insitu13652.png	"CG4221"	-0.21704035181722223
insitu10026.png	"CG6897"	5880	insitu13656.png	"asp"	0.6466482832678917
insitu10026.png	"CG6897"	5880	insitu13680.png	"pyd"	0.5172158761620591
insitu10026.png	"CG6897"	5880	insitu13689.png	"CG12785"	0.6571064506637339
insitu10026.png	"CG6897"	5880	insitu13690.png	"CG12785"	0.7752740803012576
insitu10026.png	"CG6897"	5880	insitu13703.png	"sog"	-0.19125338186231225
insitu10026.png	"CG6897"	5880	insitu13721.png	"CG8478"	0.5626907815099417
insitu10026.png	"CG6897"	5880	insitu13733.png	"Pros26"	0.7190380105362119
insitu10026.png	"CG6897"	5880	insitu13740.png	"CG31916"	-0.21331442204043355
insitu10026.png	"CG6897"	5880	insitu13741.png	"CG31916"	-0.14097869048134565
insitu10026.png	"CG6897"	5880	insitu13756.png	"rols"	0.15679618137732268
insitu10026.png	"CG6897"	5880	insitu13776.png	"CG7915"	0.7210907816166112
insitu10026.png	"CG6897"	5880	insitu13777.png	"CG7915"	0.6940479123823194
insitu10026.png	"CG6897"	5880	insitu13802.png	"CG4857"	0.6352804667756885
insitu10026.png	"CG6897"	5880	insitu13829.png	"kel"	0.6205361772688988
insitu10026.png	"CG6897"	5880	insitu13830.png	"kel"	0.5197896090289315
insitu10026.png	"CG6897"	5880	insitu13838.png	"RhoGAP19D"	0.5191459055299777
insitu10026.png	"CG6897"	5880	insitu13839.png	"RhoGAP19D"	0.6609361019913397
insitu10026.png	"CG6897"	5880	insitu13851.png	"CG3605"	0.6480552060033842
insitu10026.png	"CG6897"	5880	insitu13852.png	"CG3605"	0.4558730623456357
insitu10026.png	"CG6897"	5880	insitu13853.png	"CG3605"	0.7127517435622247
insitu10026.png	"CG6897"	5880	insitu13871.png	"apt"	0.6838195151184788
insitu10026.png	"CG6897"	5880	insitu13918.png	"CG4619"	0.47956046848884254
insitu10026.png	"CG6897"	5880	insitu13928.png	"CG18135"	0.5739902573758837
insitu10026.png	"CG6897"	5880	insitu13929.png	"CG18135"	0.5118719001086179
insitu10026.png	"CG6897"	5880	insitu13930.png	"CG18135"	0.4839047723828377
insitu10026.png	"CG6897"	5880	insitu13951.png	"snRNP70K"	0.37784356981588624
insitu10026.png	"CG6897"	5880	insitu13960.png	"CG9246"	0.7208787782681187
insitu10026.png	"CG6897"	5880	insitu13983.png	"CG14641"	0.5960196343287989
insitu10026.png	"CG6897"	5880	insitu14003.png	"CG9186"	0.13303330672177563
insitu10026.png	"CG6897"	5880	insitu14015.png	"CG12104"	0.28946912777928
insitu10026.png	"CG6897"	5880	insitu14023.png	"tok"	-0.19928645809716475
insitu10026.png	"CG6897"	5880	insitu14024.png	"tok"	-0.3080682591521276
insitu10026.png	"CG6897"	5880	insitu14048.png	"crol"	0.5462500730823457
insitu10026.png	"CG6897"	5880	insitu14086.png	"CG10132"	0.4832118370305144
insitu10026.png	"CG6897"	5880	insitu14087.png	"CG10132"	0.5392012732452663
insitu10026.png	"CG6897"	5880	insitu14094.png	"alpha-Spec"	0.6013526107805254
insitu10026.png	"CG6897"	5880	insitu14109.png	"Lsp1gamma"	-0.267160511922899
insitu10026.png	"CG6897"	5880	insitu14143.png	"Egfr"	-0.34296055658462943
insitu10026.png	"CG6897"	5880	insitu14144.png	"Egfr"	-0.31349651224640246
insitu10026.png	"CG6897"	5880	insitu14180.png	"CG4914"	-0.2593128181688191
insitu10026.png	"CG6897"	5880	insitu14215.png	"rexin"	-0.31408042998709235
insitu10026.png	"CG6897"	5880	insitu14230.png	"br"	-0.22451703668208992
insitu10026.png	"CG6897"	5880	insitu14268.png	"Tirant{}328"	-0.1844893312255278
insitu10026.png	"CG6897"	5880	insitu14270.png	"CG12750"	0.7913591995658504
insitu10026.png	"CG6897"	5880	insitu14281.png	"cutlet"	0.5598009989283546
insitu10026.png	"CG6897"	5880	insitu14292.png	"nAcRbeta-21C"	-0.1257456320561378
insitu10026.png	"CG6897"	5880	insitu14338.png	"Dox-A3"	-0.12535329041511245
insitu10026.png	"CG6897"	5880	insitu14339.png	"Dox-A3"	0.12552720403482456
insitu10026.png	"CG6897"	5880	insitu14340.png	"Dox-A3"	0.18843080907308035
insitu10026.png	"CG6897"	5880	insitu14368.png	"vimar"	0.7439832769627854
insitu10026.png	"CG6897"	5880	insitu14369.png	"vimar"	0.5840588551379409
insitu10026.png	"CG6897"	5880	insitu14403.png	"CG12236"	0.8076393327048398
insitu10026.png	"CG6897"	5880	insitu14404.png	"CG12236"	0.5851332593857673
insitu10026.png	"CG6897"	5880	insitu14414.png	"corto"	0.6483507421026213
insitu10026.png	"CG6897"	5880	insitu14415.png	"corto"	0.5508057841530533
insitu10026.png	"CG6897"	5880	insitu14416.png	"corto"	0.6881914631783965
insitu10026.png	"CG6897"	5880	insitu14417.png	"corto"	0.50427159435567
insitu10026.png	"CG6897"	5880	insitu14461.png	"toe"	0.16466518497469
insitu10026.png	"CG6897"	5880	insitu14462.png	"toe"	-0.21815132593772493
insitu10026.png	"CG6897"	5880	insitu14533.png	"CG8991"	-0.14370567384740404
insitu10026.png	"CG6897"	5880	insitu14560.png	"dei"	-0.23636623848049607
insitu10026.png	"CG6897"	5880	insitu14561.png	"dei"	-0.20886357820988966
insitu10026.png	"CG6897"	5880	insitu14562.png	"dei"	-0.19331968039736966
insitu10026.png	"CG6897"	5880	insitu14575.png	"CG31232"	0.510147681581085
insitu10026.png	"CG6897"	5880	insitu14576.png	"CG31232"	0.5846663025561287
insitu10026.png	"CG6897"	5880	insitu14585.png	"CG5641"	0.39606838887416246
insitu10026.png	"CG6897"	5880	insitu14601.png	"crol"	0.6940263373550042
insitu10026.png	"CG6897"	5880	insitu14602.png	"crol"	0.6178554541769974
insitu10026.png	"CG6897"	5880	insitu14603.png	"crol"	0.624309010489123
insitu10026.png	"CG6897"	5880	insitu14615.png	"crol"	0.6635599000294561
insitu10026.png	"CG6897"	5880	insitu14620.png	"CycT"	0.4420441100202086
insitu10026.png	"CG6897"	5880	insitu14621.png	"CycT"	0.7364570443783476
insitu10026.png	"CG6897"	5880	insitu14631.png	"zf30C"	0.6803152203366469
insitu10026.png	"CG6897"	5880	insitu14684.png	"knrl"	-0.22119552580971455
insitu10026.png	"CG6897"	5880	insitu14702.png	"TfIIFalpha"	0.767568995171552
insitu10026.png	"CG6897"	5880	insitu14703.png	"TfIIFalpha"	0.6630925187937314
insitu10026.png	"CG6897"	5880	insitu14704.png	"TfIIFalpha"	0.7225300360200143
